Date,NVDA_Price,Strike,Contracts,Allocation,Premium,Hedge_Cost,PnL,Capital,VIX,Status,Peak,Drawdown_%
2021-04-12,15.874236106872559,13.483106335034647,1,10%,40,0,40.0,53631.45063088393,32.7151710336864,OTM,53631.45063088393,0.0
2021-04-19,15.228545188903809,14.835176921355112,1,10%,40,30,10.0,53641.45063088393,33.88030968622448,OTM,53641.45063088393,0.0
2021-04-26,14.973407745361328,14.247566875128639,1,10%,40,0,40.0,53681.45063088393,33.58072490344918,OTM,53681.45063088393,0.0
2021-05-03,14.776631355285645,14.011431123162527,1,10%,40,0,40.0,53721.45063088393,33.531284774288906,OTM,53721.45063088393,0.0
2021-05-10,14.20875072479248,13.92361919279479,1,10%,40,0,40.0,53761.45063088393,31.65104321279584,OTM,53761.45063088393,0.0
2021-05-17,14.955699920654297,13.372841689769299,1,10%,40,30,10.0,53771.45063088393,31.969333593224672,OTM,53771.45063088393,0.0
2021-05-24,16.20543670654297,14.13204440927228,1,10%,40,0,40.0,53811.45063088393,30.88548684641676,OTM,53811.45063088393,0.0
2021-05-31,17.535982131958008,15.412282074726447,1,10%,40,0,40.0,53851.45063088393,29.11753226363398,OTM,53851.45063088393,0.0
2021-06-07,17.78646469116211,16.62770604433154,1,10%,40,0,40.0,53891.45063088393,29.939960506674637,OTM,53891.45063088393,0.0
2021-06-14,18.598190307617188,16.87539040548973,1,10%,40,30,10.0,53901.45063088393,29.774943125738663,OTM,53901.45063088393,0.0
2021-06-21,18.98958969116211,17.658143697908216,1,10%,40,0,40.0,53941.45063088393,29.57942389693088,OTM,53941.45063088393,0.0
2021-06-28,20.442424774169922,18.063927398591016,1,10%,40,0,40.0,53981.45063088393,29.060431695085782,OTM,53981.45063088393,0.0
2021-07-05,20.006622314453125,19.40789940475923,1,10%,40,0,40.0,54021.45063088393,29.597228289245486,OTM,54021.45063088393,0.0
2021-07-12,18.121482849121094,19.070329192761797,1,10%,40,30,-84.88463436407031,53936.565996519865,28.498941724645036,ASSIGNED,54021.45063088393,-0.15713134944129134
2021-07-19,19.515439987182617,17.124922135344015,1,10%,40,0,40.0,53976.565996519865,30.862502125472687,OTM,54021.45063088393,-0.08308668841707942
2021-07-26,19.456575393676758,18.41184158957863,1,10%,40,0,40.0,54016.565996519865,31.31151790661941,OTM,54021.45063088393,-0.009042027392867495
2021-08-02,20.321683883666992,18.366581392766374,1,10%,40,0,40.0,54056.565996519865,31.159181893881527,OTM,54056.565996519865,0.0
2021-08-09,20.144073486328125,19.25396631566771,1,10%,40,30,10.0,54066.565996519865,30.155084435613006,OTM,54066.565996519865,0.0
2021-08-16,20.770708084106445,19.070675005328887,1,10%,40,0,40.0,54106.565996519865,30.370052198725844,OTM,54106.565996519865,0.0
2021-08-23,22.586746215820312,19.727227930619858,1,10%,40,0,40.0,54146.565996519865,29.490873139578028,OTM,54146.565996519865,0.0
2021-08-30,22.797313690185547,21.43850637863519,1,10%,40,0,40.0,54186.565996519865,29.663599864956552,OTM,54186.565996519865,0.0
2021-09-06,22.433046340942383,21.63624782457154,1,10%,40,30,10.0,54196.565996519865,29.690441407452372,OTM,54196.565996519865,0.0
2021-09-13,21.856203079223633,21.278999288237024,1,10%,40,0,40.0,54236.565996519865,29.838736601664692,OTM,54236.565996519865,0.0
2021-09-20,22.036836624145508,20.700928693866107,1,10%,40,0,40.0,54276.565996519865,30.2465678271312,OTM,54276.565996519865,0.0
2021-09-27,20.700515747070312,20.958412406542926,1,10%,40,0,14.210334052738602,54290.776330572604,29.11568776258155,ASSIGNED,54290.776330572604,0.0
2021-10-04,20.789337158203125,19.619150400538853,1,10%,40,30,10.0,54300.776330572604,30.067907493969997,OTM,54300.776330572604,0.0
2021-10-11,21.818275451660156,19.91311136636657,1,10%,40,0,40.0,54340.776330572604,27.15729774281572,OTM,54340.776330572604,0.0
2021-10-18,22.680545806884766,20.968509758799602,1,10%,40,0,40.0,54380.776330572604,26.23415563994371,OTM,54380.776330572604,0.0
2021-10-25,25.515869140625,21.782776635097377,1,10%,40,0,40.0,54420.776330572604,26.417548095963994,OTM,54420.776330572604,0.0
2021-11-01,29.692495346069336,24.22486944485299,1,10%,40,30,10.0,54430.776330572604,29.594104003467585,OTM,54430.776330572604,0.0
2021-11-08,30.3292179107666,27.784828592053085,1,10%,40,0,40.0,54470.776330572604,33.531794564080855,OTM,54470.776330572604,0.0
2021-11-15,32.919029235839844,28.377340223642726,1,10%,40,0,40.0,54510.776330572604,33.56320886365067,OTM,54510.776330572604,0.0
2021-11-22,31.43999671936035,30.805487886839835,1,10%,40,0,40.0,54550.776330572604,33.5193351894745,OTM,54550.776330572604,0.0
2021-11-29,30.635366439819336,29.305856873204423,1,10%,40,30,10.0,54560.776330572604,34.57952022199216,OTM,54560.776330572604,0.0
2021-12-06,30.141292572021484,28.53639510162463,1,10%,40,0,40.0,54600.776330572604,34.76264602666173,OTM,54600.776330572604,0.0
2021-12-13,27.748798370361328,28.095305129733358,1,10%,40,0,5.34932406279701,54606.1256546354,34.579552176134214,ASSIGNED,54606.1256546354,0.0
2021-12-20,29.58434295654297,25.67587420281352,1,10%,40,0,40.0,54646.1256546354,36.54769882713245,OTM,54646.1256546354,0.0
