Period,Ticker,Market_Type,Strategy,Description,Final_Capital,Total_Return_%,Annualized_%,Max_DD_%,Win_Rate_%,Sharpe,Total_Trades,Years,Blown_Up,Stopped_Out,Over_100%,Safe_100%
COVID_Crash_2020,AMD,stock,Weekly_MonthStart_AllIn,"Weekly all-in, only first week of month",59234.75797672056,18.46951595344112,52.36664442252936,0.0,100.0,1.4608630333118517,6,0.4024640657084189,False,False,False,False
COVID_Crash_2020,AMD,stock,Weekly_Avoid_OpEx,"Weekly all-in, skip options expiry weeks",94601.3460512734,89.2026921025468,296.7410184052843,-0.3689411600376564,94.73684210526315,1.4473251909471434,19,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AMD,stock,Weekly_50_Daily_5,Weekly 50% + Daily 5% overlay,73607.47960086445,47.214959201728895,130.66669571717,-1.5798489678438437,91.66666666666666,1.3334813572079804,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AMD,stock,Portfolio_Equal_Weight,Weekly all-in split across 5 stocks,90551.56196573366,81.10312393146732,260.9445875230257,-2.802722744343938,95.83333333333334,1.3657775734922804,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AMD,stock,Portfolio_Vol_Weight,"Weekly, weight by inverse volatility",90551.56196573366,81.10312393146732,260.9445875230257,-2.802722744343938,95.83333333333334,1.3657775734922804,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AMD,stock,Weekly_Double_After_Loss,"Weekly, double position after loss",67699.76553981421,35.39953107962842,92.51147173591843,-0.8059371432783716,95.83333333333334,1.5989713258089655,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AAPL,stock,Weekly_All_In_ATM,"Weekly ATM, 100% capital - proven winner",70748.93000979416,41.497860019588316,111.74201677968823,-0.7818857147440638,87.5,1.0264591133861463,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AAPL,stock,Weekly_All_In_95,"Weekly 5% OTM, 100% capital - safer",72508.36333526512,45.01672667053025,123.28711906688268,0.0,100.0,1.4295775101862924,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AAPL,stock,Weekly_All_In_97,"Weekly 3% OTM, 100% capital",69418.8057465308,38.83761149306159,103.23218599582096,0.0,100.0,1.3710690480026289,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AAPL,stock,Daily_50pct_ATM,Daily ATM with 50% capital - safer compounding,50777.39853319782,1.5547970663956368,3.16234299126934,-16.61628322016409,70.96774193548387,0.015756560795678415,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,AAPL,stock,Daily_75pct_ATM,Daily ATM with 75% capital,53221.18595211903,6.442371904238055,13.426870664856105,-23.550039554997714,70.96774193548387,0.04304525879911178,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,AAPL,stock,Daily_50pct_OTM5,Daily 5% OTM with 50% capital,67881.38880263965,35.76277760527929,85.32995214058158,-4.463453495184834,96.7741935483871,0.5693076978184457,124,0.49555099247091033,False,False,False,False
COVID_Crash_2020,AAPL,stock,Weekly_All_In_ATM_SL20,"Weekly ATM 100%, stop at -20%",70748.93000979416,41.497860019588316,111.74201677968823,-0.7818857147440638,87.5,1.0264591133861463,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AAPL,stock,Weekly_All_In_ATM_SL30,"Weekly ATM 100%, stop at -30%",70748.93000979416,41.497860019588316,111.74201677968823,-0.7818857147440638,87.5,1.0264591133861463,24,0.46269678302532513,False,False,True,True
COVID_Crash_2020,AAPL,stock,Weekly_75pct_ATM_SL25,"Weekly ATM 75%, stop at -25%",64289.10632243684,28.57821264487368,72.16196148060385,-0.6338401100909339,87.5,1.0209477732971062,24,0.46269678302532513,False,False,False,False
COVID_Crash_2020,AAPL,stock,Daily_Compound_Max5,"Daily compounding, max 5% of capital per trade",50259.13284439924,0.5182656887984777,1.048596108670874,-5.632678564045169,70.96774193548387,0.015756560795678436,124,0.49555099247091033,False,False,False,False
