Ticker,Stock_Name,Strategy,Description,Final_Capital,Total_Return_%,Annualized_Return_%,Max_Drawdown_%,Win_Rate_%,Avg_Win,Avg_Loss,Total_Trades,Years,Blown_Up,Over_100%
COIN,Coinbase,Daily_Volatility_Harvester,"Daily 0.5% ITM during high vol, more contracts",649599.0571776517,1199.1981143553035,106.11426807310274,-17.202942534616643,71.58836689038031,1578.9376846843406,-1617.7994528359318,894,3.5455167693360714,NO,YES
MSTR,MicroStrategy,Daily_ATM_Aggressive,"Daily ATM puts, 2x leverage, high frequency",240180.64881239706,380.36129762479413,30.913477324288706,-6.162836598168246,77.79291553133515,252.57580176849706,-301.41385523689166,1468,5.8261464750171115,NO,NO
MSTR,MicroStrategy,Daily_ITM_Premium_Hunter,Daily In-the-Money puts for maximum premium,199061.90805488027,298.1238161097605,26.761432743427616,-3.2884908094320124,77.79291553133515,173.54848201269138,-150.70692761844583,1468,5.8261464750171115,NO,NO
MSTR,MicroStrategy,Daily_Scalper_3x,"Daily trades, 3x contracts, quick gains",274259.6075376979,448.5192150753957,33.92908945826674,-8.55374055508012,85.89918256130791,265.6571755573576,-534.9472987445889,1468,5.8261464750171115,NO,NO
MSTR,MicroStrategy,Weekly_Leveraged_5x,Weekly with 5x leverage - maximum aggression,331905.240527928,563.810481055856,38.57821242998887,-2.4809059824468016,96.58703071672356,1054.2257122102228,-1644.0636027565245,293,5.801505817932923,NO,NO
MSTR,MicroStrategy,Daily_Momentum_Rider,Daily puts only when stock trending up (momentum),102870.43652294013,105.74087304588026,13.221893926168505,-7.688834020750559,79.51807228915662,180.52220676450295,-355.2925117331676,747,5.809719370294319,NO,NO
MSTR,MicroStrategy,Daily_High_Vol_Max_Premium,"Daily puts only when VIX>25, max contracts",429501.37346299266,759.0027469259853,44.647476072583146,-9.493798155814108,77.72988505747126,531.5492182117779,-631.0802601359705,1392,5.8261464750171115,NO,NO
MSTR,MicroStrategy,Daily_Close_ITM,Daily 1% ITM for higher premium,301003.67006598297,502.0073401319659,36.08519500127674,-5.531886435817366,77.79291553133515,305.83589043188226,-301.41385523689166,1468,5.8261464750171115,NO,NO
MSTR,MicroStrategy,Wheel_Strategy_Aggressive,"Sell puts, get assigned, sell calls (simulated)",180099.35200779437,260.19870401558876,24.71843039101247,-0.7010512959102907,98.29351535836177,457.6561254049358,-341.122421765427,293,5.801505817932923,NO,NO
MSTR,MicroStrategy,Daily_Range_Bound,Daily puts when stock pulls back 2%+ (buy the dip),230418.78842558956,360.8375768511791,29.984444888471074,-9.862971431349143,84.74885844748859,288.08030869408253,-520.4774733084959,1095,5.8261464750171115,NO,NO
